0,1,2,3,4,5,6,7,8,9,10,11
-0.7049688,-0.7992753,-0.20436904,0.17936416,-0.5907838,1.2642599,2.1334455,0.76050514,1.176587,0.33119082,-0.22063248,-1.0157857
0.47207817,0.31987792,0.20107865,0.14797835,-0.16866681,-0.2979481,-0.28135452,1.1183045,0.16510653,-2.3182878,-2.8961773,-2.0200899
-0.53561646,-0.0064577134,1.190015,1.4246334,-0.8976488,-2.2746155,-3.241785,-0.97279614,0.6692798,-0.41699737,-1.008208,0.18139543
-0.5978163,-1.1630563,-1.0312042,-0.80677253,-1.8650064,-1.4266279,-1.8522003,-0.6899971,1.1273161,1.212722,-0.02080345,-0.71511394
-0.27101657,-0.68735254,-1.2969368,-1.8231968,-2.6545885,-1.1735635,-0.94990355,-1.3589277,-1.5966845,-1.460002,-1.3871512,-0.6207845
-0.38613194,1.2329928,0.7845522,1.6764313,-0.9245782,-0.42988148,1.2763772,-1.3284556,-1.9122844,0.091097005,-0.4878945,-0.8408183
-0.13703665,0.54027784,-1.2408168,-0.5973263,-0.22197045,-0.72935635,-0.221402,0.40063822,-0.2713537,-0.1893793,1.103572,-0.20793773
0.73758024,0.60050267,1.0967599,1.4953148,0.41719726,0.07634244,-1.9267489,-0.21721722,1.1671355,-0.26771718,-1.3327268,-0.22076547
0.04362359,0.27545246,2.097837,0.7867001,0.9482549,1.3489403,-0.14377166,-0.51719993,-0.7478147,-1.5007255,-0.21725309,-1.3361309
-0.21992055,-1.2721323,-0.63211983,-1.3575128,-0.9814074,1.3297738,-0.8322582,-0.19212064,0.92566955,0.026625697,-1.3944196,1.5312036
0.41031632,2.0586786,1.0752742,0.18363555,0.9030166,-0.33613583,1.0113114,-1.3095797,-1.8550597,-1.2900587,-0.54805374,0.11302904
0.9256287,0.54968816,0.6017517,1.5310444,0.7315122,-0.44419572,-0.3578167,-0.46541622,0.32966805,0.0921635,-1.4034735,1.6204604
1.2060795,0.5026201,0.6858195,2.128,-0.073254846,-1.0324279,-1.0565494,-1.6221058,0.20476839,-0.15548863,0.8887626,0.75725776
-1.021054,-0.5820171,-1.6260116,-1.033976,-1.2503828,-1.10363,1.2263662,0.07960843,-0.3398413,-0.8937818,-0.6474684,0.34327146
-0.49253568,1.0633701,0.20929584,0.7068456,0.887749,-1.2441939,0.6133963,0.14519042,1.7997587,0.27955487,1.2028235,1.9611127
0.29279,-0.05664372,0.18870844,1.6563399,2.0362191,1.2321453,1.1905653,1.495056,-0.4268209,-0.1164306,0.78461266,1.0362417
-0.75267494,-0.036530938,-0.43374363,1.1587138,1.6194874,0.23225932,1.5002562,-0.038224343,-0.98022926,0.28090066,-0.25763056,0.5335593
